Metric,Baseline,Improved Random Forest
MAE,1.0566055231761715,1.0788318571074806
RMSE,1.4861632490706023,1.5115432330728864
R2 Score,-0.0003574753275972231,-0.034816472763112394
Directional Accuracy,50.0,49.7001998667555
