Metric,Logistic Regression,Baseline
Accuracy,0.49233844103930713,
Precision,0.47898872565767,
Recall,0.6481738326398521,
F1 Score,0.5508840864440079,
ROC-AUC,0.4997002817391167,
Baseline Accuracy,,0.480346435709527
