Metric,Gradient Boosting,Baseline
Accuracy,0.49233844103930713,
Precision,0.479313824419778,
Recall,0.6588072122052705,
F1 Score,0.5549065420560748,
ROC-AUC,0.49223725752851966,
Baseline Accuracy,,0.480346435709527
