Metric,Random Forest,Baseline
Accuracy,0.4876748834110593,
Precision,0.466789667896679,
Recall,0.4678687008784096,
F1 Score,0.46732856153313324,
ROC-AUC,0.4899575613167846,
Baseline Accuracy,,0.480346435709527
