Date,Adj Close,Close,High,Low,Open,Volume,Company,Ticker
2021-09-03,696.7114868164062,724.2999877929688,731.7999877929688,721.0999755859375,724.75,8993813,ICICI Bank,ICICIBANK.NS
2021-09-06,693.6815185546875,721.1500244140625,728.0,720.0,725.4000244140625,5329995,ICICI Bank,ICICIBANK.NS
2021-09-07,689.5934448242188,716.9000244140625,722.4500122070312,711.6500244140625,720.9000244140625,6242711,ICICI Bank,ICICIBANK.NS
2021-09-08,693.4891357421875,720.9500122070312,722.75,715.0,716.5,7118011,ICICI Bank,ICICIBANK.NS
2021-09-09,692.8158569335938,720.25,723.9000244140625,717.5999755859375,720.7999877929688,6243422,ICICI Bank,ICICIBANK.NS
2021-09-13,680.4552001953125,707.4000244140625,717.9000244140625,705.2000122070312,717.9000244140625,6967906,ICICI Bank,ICICIBANK.NS
2021-09-14,680.5032958984375,707.4500122070312,714.0,706.5,713.25,5241865,ICICI Bank,ICICIBANK.NS
2021-09-15,687.1404418945312,714.3499755859375,716.0,706.2999877929688,707.0999755859375,5936741,ICICI Bank,ICICIBANK.NS
2021-09-16,699.5010375976562,727.2000122070312,729.4000244140625,712.8499755859375,720.0,13557169,ICICI Bank,ICICIBANK.NS
2021-09-17,692.7196044921875,720.1500244140625,734.4000244140625,714.0,732.9000244140625,17075003,ICICI Bank,ICICIBANK.NS
2021-09-20,682.9561767578125,710.0,720.4000244140625,706.5,710.0,7943459,ICICI Bank,ICICIBANK.NS
2021-09-21,684.7356567382812,711.8499755859375,714.5,694.4000244140625,711.1500244140625,10009615,ICICI Bank,ICICIBANK.NS
2021-09-22,676.5594482421875,703.3499755859375,715.0,702.25,715.0,9740470,ICICI Bank,ICICIBANK.NS
2021-09-23,689.6895751953125,717.0,720.0,707.1500244140625,711.0,10412491,ICICI Bank,ICICIBANK.NS
2021-09-24,695.4129638671875,722.9500122070312,724.5999755859375,716.5499877929688,722.5999755859375,11780868,ICICI Bank,ICICIBANK.NS
2021-09-27,702.1944580078125,730.0,731.75,722.2999877929688,724.5,7712240,ICICI Bank,ICICIBANK.NS
2021-09-28,689.8338623046875,717.1500244140625,735.4000244140625,706.5999755859375,734.0999755859375,13491800,ICICI Bank,ICICIBANK.NS
2021-09-29,682.4752197265625,709.5,711.9500122070312,701.2999877929688,707.3499755859375,11453404,ICICI Bank,ICICIBANK.NS
2021-09-30,674.1547241210938,700.8499755859375,713.9000244140625,698.7999877929688,709.5999755859375,18487517,ICICI Bank,ICICIBANK.NS
2021-10-01,665.9783935546875,692.3499755859375,694.8499755859375,687.9000244140625,693.0,10935810,ICICI Bank,ICICIBANK.NS
2021-10-04,673.529541015625,700.2000122070312,703.3499755859375,694.0499877929688,697.0499877929688,8976533,ICICI Bank,ICICIBANK.NS
2021-10-05,670.5475463867188,697.0999755859375,699.0,691.8499755859375,693.0,7497208,ICICI Bank,ICICIBANK.NS
2021-10-06,663.2371215820312,689.5,705.0,688.3499755859375,696.5999755859375,13200810,ICICI Bank,ICICIBANK.NS
2021-10-07,675.4533081054688,702.2000122070312,704.9500122070312,693.4500122070312,697.5499877929688,10041549,ICICI Bank,ICICIBANK.NS
2021-10-08,676.6076049804688,703.4000244140625,710.0,698.2999877929688,706.0,9383924,ICICI Bank,ICICIBANK.NS
2021-10-11,686.1304931640625,713.2999877929688,719.4000244140625,700.2999877929688,702.0,9337637,ICICI Bank,ICICIBANK.NS
2021-10-12,681.6094970703125,708.5999755859375,713.0,704.4000244140625,706.5,7376091,ICICI Bank,ICICIBANK.NS
2021-10-13,682.9081420898438,709.9500122070312,715.9000244140625,707.9500122070312,713.8499755859375,6357766,ICICI Bank,ICICIBANK.NS
2021-10-14,699.5972290039062,727.2999877929688,729.7999877929688,709.0499877929688,710.25,8950350,ICICI Bank,ICICIBANK.NS
2021-10-18,717.0559692382812,745.4500122070312,748.9000244140625,732.0499877929688,739.0,15345601,ICICI Bank,ICICIBANK.NS
2021-10-19,718.979736328125,747.4500122070312,755.0,738.75,755.0,11349799,ICICI Bank,ICICIBANK.NS
2021-10-20,717.440673828125,745.8499755859375,757.4500122070312,741.9000244140625,746.75,12762996,ICICI Bank,ICICIBANK.NS
2021-10-21,726.7230834960938,755.5,759.8499755859375,737.4000244140625,748.9000244140625,12166996,ICICI Bank,ICICIBANK.NS
2021-10-22,730.37841796875,759.2999877929688,765.8499755859375,753.3499755859375,758.5,13248928,ICICI Bank,ICICIBANK.NS
2021-10-25,809.6398315429688,841.7000122070312,867.0,798.4000244140625,800.0,96124084,ICICI Bank,ICICIBANK.NS
2021-10-26,797.8082275390625,829.4000244140625,841.7000122070312,822.3499755859375,828.7000122070312,16925115,ICICI Bank,ICICIBANK.NS
2021-10-27,803.1950073242188,835.0,849.0,824.2000122070312,828.75,22898400,ICICI Bank,ICICIBANK.NS
2021-10-28,768.2776489257812,798.7000122070312,831.9500122070312,796.25,830.0999755859375,18750423,ICICI Bank,ICICIBANK.NS
2021-10-29,771.5,802.0499877929688,808.75,783.9000244140625,798.0,15701200,ICICI Bank,ICICIBANK.NS
2021-11-01,773.279541015625,803.9000244140625,809.7000122070312,793.0,807.7000122070312,11406421,ICICI Bank,ICICIBANK.NS
2021-11-02,770.44189453125,800.9500122070312,810.0,798.0,809.0,9452457,ICICI Bank,ICICIBANK.NS
2021-11-03,756.0133056640625,785.9500122070312,806.0,780.4500122070312,806.0,11839149,ICICI Bank,ICICIBANK.NS
2021-11-04,752.3099365234375,782.0999755859375,789.0,779.0,788.5,3149310,ICICI Bank,ICICIBANK.NS
2021-11-08,750.4342041015625,780.1500244140625,793.0,773.1500244140625,793.0,13967995,ICICI Bank,ICICIBANK.NS
2021-11-09,756.5903930664062,786.5499877929688,788.5999755859375,779.2000122070312,784.0,10084357,ICICI Bank,ICICIBANK.NS
2021-11-10,751.1556396484375,780.9000244140625,784.2999877929688,773.0999755859375,782.5499877929688,9507347,ICICI Bank,ICICIBANK.NS
2021-11-11,742.0656127929688,771.4500122070312,777.0,766.0999755859375,776.7000122070312,9221059,ICICI Bank,ICICIBANK.NS
2021-11-12,747.0194091796875,776.5999755859375,779.9000244140625,771.2000122070312,772.7000122070312,15380106,ICICI Bank,ICICIBANK.NS
2021-11-15,743.8451538085938,773.2999877929688,784.5499877929688,771.5499877929688,777.0,10934583,ICICI Bank,ICICIBANK.NS
2021-11-16,734.9473876953125,764.0499877929688,775.75,762.0,773.2999877929688,12785837,ICICI Bank,ICICIBANK.NS
2021-11-17,732.3021850585938,761.2999877929688,771.9500122070312,756.2999877929688,760.9000244140625,11657214,ICICI Bank,ICICIBANK.NS
2021-11-18,733.8412475585938,762.9000244140625,767.5,756.4000244140625,764.9000244140625,20644385,ICICI Bank,ICICIBANK.NS
2021-11-22,723.3564453125,752.0,770.4500122070312,740.25,768.2999877929688,20403786,ICICI Bank,ICICIBANK.NS
2021-11-23,723.2120971679688,751.8499755859375,757.9500122070312,731.2000122070312,740.9500122070312,24913042,ICICI Bank,ICICIBANK.NS
