Date,Adj Close,Close,High,Low,Open,Volume,Company,Ticker
2021-09-03,794.0695190429688,798.0,809.9000244140625,787.7000122070312,804.5,7509746,Axis Bank,AXISBANK.NS
2021-09-03,623.8317260742188,646.3154296875,657.2599487304688,641.9474487304688,655.689453125,7920313,Bharti Airtel,BHARTIARTL.NS
2021-09-03,947.7463989257812,979.7100219726562,981.8499755859376,972.4600219726562,975.239990234375,2156575,Dr Reddy's,DRREDDY.NS
2021-09-03,954.9828491210938,1174.75,1180.5999755859375,1158.25,1173.5,4533364,HCLTech,HCLTECH.NS
2021-09-03,737.431884765625,788.0250244140625,799.0,784.1500244140625,793.0499877929688,10735334,HDFC Bank,HDFCBANK.NS
2021-09-03,2536.8779296875,2766.699951171875,2808.75,2756.0,2802.199951171875,1561823,Hindustan Unilever,HINDUNILVR.NS
2021-09-03,696.7114868164062,724.2999877929688,731.7999877929688,721.0999755859375,724.75,8993813,ICICI Bank,ICICIBANK.NS
2021-09-03,165.82437133789062,202.7899475097656,203.4158477783203,201.97146606445312,201.97146606445312,10622796,ITC,ITC.NS
2021-09-03,1481.2193603515625,1700.6500244140625,1705.949951171875,1684.4000244140625,1696.050048828125,5339139,Infosys,INFY.NS
2021-09-03,715.9359130859375,749.9000244140625,757.0,745.0999755859375,756.0,4257842,M&M,M&M.NS
2021-09-03,6553.9716796875,6863.10009765625,6958.0,6751.60009765625,6770.0,1196077,Maruti Suzuki,MARUTI.NS
2021-09-03,96.47443389892578,117.0,117.9000015258789,116.5,117.0,9364904,NTPC,NTPC.NS
2021-09-03,90.09888458251952,123.0999984741211,123.5,118.8000030517578,119.9499969482422,21326802,ONGC,ONGC.NS
2021-09-03,1081.79443359375,1102.2923583984375,1105.2921142578125,1062.6033935546875,1066.0645751953125,30664428,Reliance,RELIANCE.NS
2021-09-03,394.6219787597656,431.3999938964844,434.2999877929688,428.2000122070313,431.25,14233624,SBI,SBIN.NS
2021-09-03,751.3616943359375,789.4000244140625,797.2000122070312,784.0,793.0,2860730,Sun Pharma,SUNPHARMA.NS
2021-09-03,3337.58349609375,3842.050048828125,3856.89990234375,3804.550048828125,3825.0,1746812,TCS,TCS.NS
2021-09-03,124.49436950683594,144.36500549316406,145.2949981689453,141.64500427246094,142.8000030517578,84523820,Tata Steel,TATASTEEL.NS
2021-09-03,299.2059936523437,327.54998779296875,328.3500061035156,324.75,326.5,7549940,Wipro,WIPRO.NS
2021-09-06,796.855712890625,800.7999877929688,805.9000244140625,795.3499755859375,800.8499755859375,4539192,Axis Bank,AXISBANK.NS
2021-09-06,620.18408203125,642.536376953125,653.4808959960938,641.3585205078125,652.15576171875,10223448,Bharti Airtel,BHARTIARTL.NS
2021-09-06,951.1128540039062,983.1900024414062,988.6599731445312,974.2899780273438,988.0,3080995,Dr Reddy's,DRREDDY.NS
2021-09-06,975.6307983398438,1200.1500244140625,1210.0999755859375,1174.0,1175.0,4331916,HCLTech,HCLTECH.NS
2021-09-06,732.5890502929688,782.8499755859375,790.4749755859375,780.9749755859375,789.9749755859375,7876896,HDFC Bank,HDFCBANK.NS
2021-09-06,2549.622802734375,2780.60009765625,2825.0,2775.300048828125,2790.0,1444978,Hindustan Unilever,HINDUNILVR.NS
2021-09-06,693.6815185546875,721.1500244140625,728.0,720.0,725.4000244140625,5329995,ICICI Bank,ICICIBANK.NS
2021-09-06,164.80078125,201.5381622314453,203.36770629882807,201.2974395751953,203.17510986328125,11041632,ITC,ITC.NS
2021-09-06,1507.131103515625,1730.4000244140625,1732.0,1699.3499755859375,1705.1500244140625,4876026,Infosys,INFY.NS
2021-09-06,720.5663452148438,754.75,759.7999877929688,747.0499877929688,753.0,3682183,M&M,M&M.NS
2021-09-06,6538.50048828125,6846.89990234375,6954.0,6838.0,6925.0,897444,Maruti Suzuki,MARUTI.NS
2021-09-06,96.02091979980467,116.4499969482422,117.6500015258789,115.9000015258789,117.6500015258789,7005043,NTPC,NTPC.NS
2021-09-06,89.03760528564453,121.6500015258789,124.3499984741211,121.1500015258789,123.8000030517578,12505630,ONGC,ONGC.NS
