Date,Adj Close,Close,High,Low,Open,Volume,Company,Ticker
2021-09-03,737.431884765625,788.0250244140625,799.0,784.1500244140625,793.0499877929688,10735334,HDFC Bank,HDFCBANK.NS
2021-09-06,732.5890502929688,782.8499755859375,790.4749755859375,780.9749755859375,789.9749755859375,7876896,HDFC Bank,HDFCBANK.NS
2021-09-07,734.2500610351562,784.625,791.0,777.5999755859375,781.25,7245496,HDFC Bank,HDFCBANK.NS
2021-09-08,737.5955810546875,788.2000122070312,790.25,782.7999877929688,785.9749755859375,6724080,HDFC Bank,HDFCBANK.NS
2021-09-09,733.9459228515625,784.2999877929688,789.7249755859375,780.5,787.0,8250948,HDFC Bank,HDFCBANK.NS
2021-09-13,727.8399047851562,777.7750244140625,792.0,776.8250122070312,781.0,8959164,HDFC Bank,HDFCBANK.NS
2021-09-14,724.5645751953125,774.2750244140625,782.25,773.2999877929688,780.0,9758506,HDFC Bank,HDFCBANK.NS
2021-09-15,723.7456665039062,773.4000244140625,777.4000244140625,767.5,767.5,14822998,HDFC Bank,HDFCBANK.NS
2021-09-16,729.8984985351562,779.9749755859375,782.1500244140625,768.1500244140625,768.875,10260550,HDFC Bank,HDFCBANK.NS
2021-09-17,740.2859497070312,791.0750122070312,794.5,779.5999755859375,784.5,20498102,HDFC Bank,HDFCBANK.NS
2021-09-20,729.8517456054688,779.9249877929688,790.8499755859375,779.0,782.0,8781610,HDFC Bank,HDFCBANK.NS
2021-09-21,726.1553955078125,775.9749755859375,784.3250122070312,764.4749755859375,781.0,14774996,HDFC Bank,HDFCBANK.NS
2021-09-22,717.6162109375,766.8499755859375,775.0750122070312,765.0,774.5,10582202,HDFC Bank,HDFCBANK.NS
2021-09-23,734.60107421875,785.0,786.0,771.0,771.0,13664304,HDFC Bank,HDFCBANK.NS
2021-09-24,749.3632202148438,800.7750244140625,803.9749755859375,787.5,789.5,20806702,HDFC Bank,HDFCBANK.NS
2021-09-27,760.3822021484375,812.5499877929688,817.75,804.0,807.8499755859375,16415462,HDFC Bank,HDFCBANK.NS
2021-09-28,755.6798095703125,807.5250244140625,816.0,791.0,816.0,12773790,HDFC Bank,HDFCBANK.NS
2021-09-29,745.7603759765625,796.9249877929688,803.2999877929688,792.5750122070312,798.5,16263036,HDFC Bank,HDFCBANK.NS
2021-09-30,746.2750244140625,797.4749755859375,803.1749877929688,791.5499877929688,793.0,15975348,HDFC Bank,HDFCBANK.NS
2021-10-01,740.5432739257812,791.3499755859375,794.5,782.625,791.5,11128596,HDFC Bank,HDFCBANK.NS
2021-10-04,741.970458984375,792.875,800.6749877929688,791.7999877929688,794.5,7051028,HDFC Bank,HDFCBANK.NS
2021-10-05,746.5089721679688,797.7249755859375,798.75,788.125,796.0,10257178,HDFC Bank,HDFCBANK.NS
2021-10-06,755.6096801757812,807.4500122070312,813.4249877929688,793.5,798.0,18600830,HDFC Bank,HDFCBANK.NS
2021-10-07,753.5508422851562,805.25,813.8499755859375,803.5,813.2999877929688,11265724,HDFC Bank,HDFCBANK.NS
2021-10-08,749.8778686523438,801.3250122070312,811.0,800.0750122070312,806.0,7245562,HDFC Bank,HDFCBANK.NS
2021-10-11,764.4529418945312,816.9000244140625,822.5,799.5,799.9500122070312,13080848,HDFC Bank,HDFCBANK.NS
2021-10-12,762.4877319335938,814.7999877929688,820.7750244140625,812.5,812.5,8176946,HDFC Bank,HDFCBANK.NS
2021-10-13,767.0732421875,819.7000122070312,824.0,815.0,818.5,6225644,HDFC Bank,HDFCBANK.NS
2021-10-14,789.5322265625,843.7000122070312,845.0,819.0,819.0,14757288,HDFC Bank,HDFCBANK.NS
2021-10-18,781.53125,835.1500244140625,862.5,833.5250244140625,852.5,28856456,HDFC Bank,HDFCBANK.NS
2021-10-19,790.1405639648438,844.3499755859375,846.2249755859375,835.5,837.7249755859375,8987540,HDFC Bank,HDFCBANK.NS
